Recettes,Ingrédients
Soupe aux légumes d’hiver.html,"['1  poireau(x)', '250 g navet(s)', '250 g pomme(s) de terre', '150 g carotte(s)', '  herbes aromatiques', '  huile(s) végétale(s)']"
Soupe chinoise aux légumes et vermicelles.html,"['¼  chou chinois', '125 g champignons', '125 g carotte(s)', '20 g vermicelles de soja', '  coriandre', '  gingembre', '  sauce soja', '  huile(s) végétale(s)']"
Soupe de carottes aux lentilles corail.html,"['1 L bouillon de légumes', '800 g carotte(s)', '200 g lentilles corail', '20 cL lait de coco', '1  oignon(s)', '1 gousse(s) ail', '1 c. à soupe huile(s) végétale(s)', '1 c. à café curry', '1 c. à café cumin', '  coriandre', '  sel, poivre']"
"Soupe de légumes au butternut, patate douce et poireau.html","['1 kg butternut', '300 g patate(s) douce(s)', '1  poireau(x)', '1 poignée noisettes', '2 c. à soupe huile(s) végétale(s)']"
Spaghetti aux boulettes de lentilles.html,"['200 g spaghetti', '240 g lentilles', ""30 g flocons d'avoine"", '400 g tomates', '1  oignon(s)', '1 gousse ail', '  épices', '  origan', '  huile d’olive']"
Spaghetti à la bolognaise végétarienne (aux lentilles).html,"['250 g pâtes', '100 g lentilles', '500 g tomate(s)', '250 g carotte(s)', '2 branches céleri-branche', '1  oignon(s)', '1 gousse ail', ""  huile d'olive"", '  herbes de Provence']"
Taboulé (pour bébé et toute la famille).html,"['100 g semoule de couscous', '3  tomate(s)', '1  concombre', '1  poivron(s) jaune(s)', '1 poignée(s) raisins secs', '½  citron', '2 c. à soupe huile d’olive', '1 bouquet menthe', '  sel, poivre']"
Taboulé de quinoa à l’asiatique.html,"['300 g carotte(s)', '100 g brocoli', '120 g quinoa', '1 petit oignon rouge', '1 poignée cacahuètes', '1 c. à soupe sauce soja', '2 c. à soupe huile de sésame', '1  citron vert', '1 bouquet coriandre', '  graines de sésame']"
Tagliatelles au pesto de courgette.html,"['400 g courgette(s)', '200 g pâtes', '40 g parmesan', '30 g pignons de pin', '20 g basilic', ""2 c. à soupe huile d'olive"", '1 gousse ail']"
Tagliatelles aux courgettes jaunes.html,"['300 g courgette(s) jaune(s)', '250 g pâtes', '100 g tomates cerises', '1  échalote(s)', '1 gousse ail', ""1 c. à soupe huile d'olive"", '½ c. à café herbes de Provence', '  basilic']"
Tajine de légumes aux pruneaux.html,"['300 g patate(s) douce(s)', '250 g navet(s)', '125 g pois chiches', '100 g pruneau(x)', '1  oignon(s)', '1 c. à soupe amandes', '  huile d’olive', '  épices', '150 g semoule de couscous']"
Tajine de poulet aux pruneaux (pour bébé et toute la famille).html,"['250 g poulet', '250 g pomme(s) de terre', '250 g carotte(s)', '250 g navet(s)', '20  pruneau(x)', '1  oignon(s)', '1 c. à café épices à tajine', '1 bouquet coriandre', '2 c. à soupe huile d’olive']"
Tajine végétarien aux légumes d’été et olives.html,"['2  aubergine(s)', '2  courgette(s)', '400 g tomates concassées', '1  poivron(s) jaune(s)', '1  oignon(s)', '150 g semoule de couscous', '125 g pois chiches', '50 g olives', ""2 c. à soupe huile d'olive"", '1 c. à café cumin', '1 c. à café gingembre', '½ c. à café cannelle']"
Tarte aux carottes et cumin (pour bébé et toute la famille).html,"['200 g farine', '80 mL huile(s) végétale(s)', '80 mL eau chaude', '1 kg carotte(s)', '4  oeuf(s)', '2 c. à café cumin']"
Tarte aux fraises revisitée.html,"['400 g compote de pommes', ""100 g poudre d'amandes"", '100 g farine', '80 g beurre', '4 c. à café poudre à lever', '20 cL crème liquide', '125 g mascarpone', '1 c. à café vanille ', '250 g fraises']"
Tarte aux poireaux et sarrasin.html,"['3  poireau(x)', '3  oeuf(s)', '40 g fromage râpé', '200 g farine de sarrasin', '40 mL huile d’olive', '120 mL eau chaude']"
"Tarte aux épinards, chèvre et sarrasin (pour bébé et toute la famille).html","['500 g épinards', '1  fromage de chèvre', '3  oeuf(s)', '20 cL crème', '200 g farine de sarrasin', '40 mL huile(s) végétale(s)', '120 mL eau chaude']"
Tarte betterave chèvre et noix.html,"['400 g betterave(s)', '1  pâte brisée', '150 g yaourt grec', '120 g fromage de chèvre', '2  oeuf(s)', '8 cL lait', '1  salade verte', '1  oignon(s)', '1 gousse(s) ail', '15 g noix', ""1 c. à soupe huile d'olive"", '  sel, poivre']"
"Tarte feuilletée au fenouil, pomme, noix et chèvre frais.html","['2  fenouil', '2  pomme(s)', '1  pâte feuilletée', '1 poignée noix', '  fromage frais']"
Tarte fine au chou rouge et fourme d’Ambert.html,"['¼  chou rouge', ""100 g fourme d'Ambert"", '3 c. à soupe crème fraîche', '1 c. à soupe huile d’olive', '200 g farine', '72 g huile(s) végétale(s)', '80 mL eau chaude']"
Tarte moelleuse aux poireaux (pour bébé et toute la famille).html,"['3  poireau(x)', '4 c. à soupe crème fraîche', '1 c. à café curry', '250 g flocons d’avoine', '250 mL lait', '15 g graines de courges']"
Tarte polenta aux épinards et tomates cerises.html,"['150 g polenta', '250 g épinards', '100 g tomates cerises', '20 cL coulis de tomates', '50 g fromage râpé', '1 cube bouillon cube de légumes']"
"Tarte rustique au chou rouge, pommes et carottes (pour bébé et toute la famille).html","['1  pâte brisée', '500 g chou rouge', '250 g carotte(s)', '2  pomme(s)', '1  citron(s)', '1 poignée noix', '50 g fromage de chèvre', '1 pincée bicarbonate de soude alimentaire', '2 c. à soupe huile d’olive']"
"Tarte rustique au potiron, chèvre et noix.html","['400 g potiron', '200 g farine', '50 g huile d’olive', '80 mL eau chaude', '½  bûche de fromage de chèvre', '1 poignée noix', '  herbes aromatiques']"
Tarte rustique aux abricots .html,"['200 g farine', '80 mL eau tiède', '2 c. à soupe huile de tournesol', '10  abricot(s)', '200 g compote pomme abricots', ""3 c. à soupe poudre d'amandes"", '1 poignée amandes effilées', '1 jaune(s) oeuf(s)', '1 sachet(s) sucre vanillé']"
Tarte rustique cerises nectarines.html,"['200 g farine', '80 mL eau tiède', '2 c. à soupe huile de tournesol', '3  nectarine(s)', '10  cerises', '200 g compote de pommes', ""3 c. à café poudre d'amandes"", '1 poignée(s) amandes effilées', '1 jaune(s) oeuf(s)', '1 sachet(s) sucre vanillé']"
Tarte salée aux carottes et chou rouge.html,"['1  pâte brisée', '¼  chou-rouge', '2  carotte(s)', '3  oeuf(s)', '200 mL crème liquide', '100 mL lait', '3 pincée(s) muscade moulue', '1 pincée(s) cannelle', '  salade verte', '  sel, poivre']"
Tarte salée mâche ricotta.html,"['1  pâte brisée', '4  oeuf(s)', '200 g ricotta', '100 g mâche', '50 g emmental râpé', '  ciboulette', '  sel, poivre']"
Tarte tatin au fenouil.html,"['1  pâte feuilletée', '2  fenouil', '6  oignons nouveaux', '2 c. à soupe moutarde douce', '2 c. à soupe sauce soja', '1 c. à soupe vinaigre balsamique', '  sel, poivre', '  salade verte']"
Tarte tatin aux navets et au chèvre (pour bébé et toute la famille).html,"['750 g navet(s)', '½  bûche de fromage de chèvre', '2 c. à soupe miel', '200 g farine', '80 mL huile(s) végétale(s)', '80 mL eau chaude']"
Tarte à la rhubarbe.html,"['150 g noix', '150 g amandes', '150 g dattes', ""135 g flocons d'avoine"", '3 c. à soupe huile de coco', '250 mL lait', '2 jaune(s) oeuf(s)', '20 g sirop de dattes', '15 g fécule de maïs', '¼ c. à café vanille', '300 g rhubarbe', '200 g compote pomme fraise rhubarbe']"
"Tartelettes aux courgettes, basilic, pignons et feta.html","['1 à 2  courgette(s)', '150 g farine semi-complète', '50 g feta', '1 poignée pignons de pin', '  basilic', '  huile(s) végétale(s)', '  salade verte']"
Tartelettes aux poireaux et bleu.html,"['2  poireau(x)', '2  oeuf(s)', '50 g fromage bleu', '200 g farine', '72 g huile d’olive', '80 mL eau chaude']"
Tartelettes façon panna cotta fraises vanille (sans cuisson).html,"[""100 g flocons d'avoine"", '80 g dattes', '65 g amandes', '2 c. à soupe huile de coco', '20 g eau', '250 mL crème liquide', '150 mL lait', '50 g sirop de dattes', '3 feuilles gélatine', '½ c. à café vanille', '200 g fraises', '  zeste de citron vert']"
Tartelettes framboises pistaches.html,"[""100 g flocons d'avoine"", '80 g dattes', '65 g amandes', '2 c. à soupe huile de coco', '20 g eau', '50 g beurre', '1  oeuf', ""25 g poudre d'amandes"", '25 g poudre de pistaches', '25 g crème liquide', '15 g sirop de dattes', '250 g framboises', '30 g pistaches']"
"Tartelettes rustiques betterave, chèvre et noix.html","['250 g betterave(s)', '150 g farine', '50 g fromage de chèvre', '1 poignée noix', '35 g huile d’olive', '  mâche']"
Tartines aux figues et betterave (pour bébé et toute la famille).html,"['6  figue(s)', '150 g betterave(s) fraîche(s)', '4 à 5 tranche(s) pain complet', '50 g fromage de chèvre frais', '1 poignée(s) noix', '  thym', '  huile d’olive', '  salade verte']"
Tian aux légumes d’été (pour bébé et toute la famille).html,"['2  aubergine(s)', '2  courgette(s)', '4  tomate(s)', '1  oignon(s)', ""2 c. à soupe huile d'olive"", '  herbes de Provence']"
Tian patate douce fenouil.html,"['400 g patate(s) douce(s)', '1  fenouil', '1 gousse ail', '  huile d’olive', '  herbes de Provence']"
Tomates farçies au quinoa et petits légumes.html,"['5  tomate(s) à farcir', '150 g carotte(s)', '150 g poivron(s) rouge(s)', '75 g quinoa', ""2 c. à soupe huile d'olive"", '½ c. à café herbes de Provence', '1  salade verte']"
Trio arc-en-ciel de vitelotte panais et carotte (Recette de Noël).html,"['250 g pomme(s) de terre vitelotte', '250 g carotte(s)', '250 g panais', '  huile(s) végétale(s)']"
Velouté au chou frisé et croûtons à l’huile d’olive.html,"['½  chou vert', '2  pomme(s) de terre', '1 L bouillon de légumes', '40 mL lait de coco', '2 pincée(s) paprika', '  persil', '3 tranches pain', '1 c. à café huile d’olive']"
Velouté de brocoli et champignons rôtis.html,"['400 g brocoli', '50 g fromage frais', '300 g champignons', ""1 c. à soupe huile d'olive"", '1 cube(s) bouillon cube de légumes', '1 gousse(s) ail', '  pain', '  sel, poivre']"
Velouté de butternut carottes et poireaux.html,"['½  butternut', '2  pomme(s) de terre', '2  carotte(s)', '1  poireau(x)', '20 g beurre', '1 cube bouillon de légumes', '  crème fraîche']"
"Velouté de butternut, patates douces, coriandre et curcuma (pour bébé et toute la famille).html","['1  butternut', '2 à 3  patate(s) douce(s)', '1 bouquet coriandre', '1 c. à soupe curcuma', '2 c. à soupe huile(s) végétale(s)']"
"Velouté de carottes, lentilles corail, coco et curry.html","['400 g carotte(s)', '100 g lentilles corail', '20 cL lait de coco', '1 c. à café curry', '3 tranches pain', '  huile d’olive']"
Velouté de chou kale.html,"['200 g chou kale', '200 g pomme(s) de terre', '40 mL lait de coco', '½  oignon', '½  citron(s)', '1 c. à soupe huile d’olive', '2 pincée(s) cumin']"
"Velouté de chou-fleur, poire et bleu.html","['1  chou-fleur', '3  poire(s)', '50 g fromage bleu', '1  pain de campagne']"
Velouté de légumes.html,"['2  poireau(x)', '2  navet(s)', '5  pomme(s) de terre', '5  carotte(s)', '20 g beurre', '1  bouillon cube de légumes', '  sel, poivre', '  pain', '  fromage frais']"
Velouté de panais & patates douces aux cacahuètes.html,"['500 g panais', '250 g patate(s) douce(s)', '2 c. à soupe purée de cacahuètes', '1 poignée cacahuètes']"
"Velouté de panais onctueux à la ricotta, croustillant aux noisettes.html","['750 g panais', '100 g ricotta', '500 mL lait', '25 g beurre', '25 g farine', '25 g noisettes', '25 g parmesan']"
"Velouté de patate douce, carotte, lait de coco, lentilles corail et curry.html","['300 g patate(s) douce(s)', '300 g carotte(s)', '75 g lentilles corail', '20 cL lait de coco', '  curry']"
Velouté de petits pois à la menthe et tartines au radis.html,"['350 g petits pois', '1 botte radis', '3 tranches pain de campagne', '  fromage frais', '  menthe', '  ciboulette', '  huile(s) végétale(s)']"
Verrines de yaourt grec au muesli et nectarine.html,"['2  nectarine(s)', '300 g yaourt grec', '150 g muesli', '1 poignée baies de goji']"
Wraps au houmous de fenouil et poivrons grillés.html,"['5  galette(s) de blé', '3  poivron(s)', '250 g fenouil', '125 g pois chiches', '1  salade verte', '1  feta', '1  citron', '  huile(s) végétale(s)', '  sel, poivre']"
Wraps aux crudités.html,"['250 g carotte(s)', '1  radis noir', '½  laitue', '140 g maïs', '5  galette(s) de blé', '  coriandre', '125 g haricots blancs', '½  citron', '1 c. à café huile(s) végétale(s)', '1 pincée(s) cumin']"
Wraps aux légumes croquants (pour bébé et toute la famille).html,"['4  galette(s) de blé', '4 feuille(s) laitue', '2  carotte(s)', '1  concombre', '1  avocat(s)', '200 g fromage frais', '4 tranche(s) jambon blanc', '  sel, poivre']"
Épinards crémeux à l’indienne.html,"[""300 g pousses d'épinards"", '250 g tomates concassées', '200 mL lait de coco', '150 g riz', '1  oignon(s)', '1 gousse(s) ail', ""2 c. à soupe huile d'olive"", '2 c. à café cumin', '1 c. à café curry', '½ c. à café curcuma', '2  naan']"
